SSBD:database ID,Project Name,Dataset,Title,Organism,Contact,Organization,Biological Imaging Method,Paper Information,Paper DOI,Dataset License,File Path,Thumbnail,image_webclient_url
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_122,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123301/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123301/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3780
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_123,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123303/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123303/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3781
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_124,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123305/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123305/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3782
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_125,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123307/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123307/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3783
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_126,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123309/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123309/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3784
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_127,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123311/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123311/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3785
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_128,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123313/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123313/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3786
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_129,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123315/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123315/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3787
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_13,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123083/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123083/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3671
ssbd-database-000066,66-Iwata-CellDynOSNMT,Fig8-S8_Bz-Val_130,Image of phase code stability across multiple sniff cycles with and without mechanosensory oscillaions,Mus musculus,Takeshi Imai,Kyushu University,,"Ryo Iwata, Hiroshi Kiyonari, Takeshi Imai (2017) Mechanosensory-Based Phase Coding of Odor Identity in the Olfactory Bulb., Neuron, Volume 96, Number 5, pp. 1139-1152.e7",https://doi.org/10.1016/j.neuron.2017.11.008,CC BY,https://ssbd.riken.jp/omero/webclient/img_detail/123317/,https://ssbd.riken.jp/omero/webgateway/render_thumbnail/123317/,https://ssbd.riken.jp/omero/webclient/?show=dataset-3788
